"Load #","Last Free Day","Total Weight","Container #","Chassis #","APT","Approved Date","Available Date","BOL/BKG","BOOKING #","Billing Date","Billing Note","Branch","Broker Hold","CSR","Caller Booking No","Carrier Hold","S101 - DRAYAGE (ALL-IN)","S100 - DRAYAGE","S108 - CHASSIS","S211 - TRANSLOAD","S132 - OVERWEIGHT","S128 - HAZMAT","S114 - CREDIT","S131 - OFF-HIRE REPOSITIONING","S122 - DROP CHARGE","S152 - PREPULL","S163 - YARD DAYS","S104 - FUEL","S159 - TRI-AXLE","S107 - BONDED MOVE","S162 - YARD PULL","S120 - DRY RUN","S141 - PERMIT","Charge Set Status","Chassis Size","Chassis Type","Cheque Number","Commodity","Container Size","Container Type","Created By","Created By Date","Current Location","Custom","Customer","Cut","Deliver Load Arrived","Deliver Load Enroute","Delivery Location","Discharged Date","Dispatched By","Driver","Driver Note","Drop Container Arrived","Drop Container Enroute","ETA","Empty Date","Freight","Gray Chassis #","Gray Container #","Graypool Chassis #","Graypool Container #","Hazmat","Hook Chassis","Hook Chassis Arrived","Hook Chassis Enroute","Hook Container Arrived","Hook Container Enroute","House BOL","Ingate Date","Is Ready To Return","Load Completed At","Move","Load Notes","Move Assigned Date","Next Address","Other References","Outgate Date","Over Weight","PICKUP","PCS","PICKUP #","PO #","Paid Amount","Pallets","Payment Date","Per Diem Free Day","Pick Up Location","Pick up #","Pricing Total","Pull Container Arrived","Pull Container Enroute","Purchase Order #","Reference #","Remaining Amount","Reservation #","Return","Return #","Return Container Arrived","Return Container Enroute","Return Location","SSL","Seal #","Shipment","Status","Stop Off Arrived","Stop Off Enroute","Temperature","Terminal Address","Terminate Chassis","Terminate Chassis Arrived","Terminate Chassis Enroute","Total Amount","Total Distance","Vessel Name","Voyage","Warehouse Address","Yard Note"
"THWK_M135070","","0","CIMU0726751","","","","","BKKFDH670700","","","","","No","","","No","","300","40","","","","","100","","","","","","","","","","DRAFT","","","","","20'","ST","Joel","02/11/26 05:36 PM","","HOLD","GRAVITY CONCEPTS","","","","TEADIT NORTH AMERICA","","","","","","","02/17/26 07:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","440","","","","","0","","","","","","UNLIMITED TRUCKING","ONE","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","440","31","EVT","126W","10545 Red Bluff Road, Pasadena, TX 77507, US",""
"THWK_M135069","","0","CIMU0726617","","","","","BKKFDJ483900","","","","","No","","","No","","300","40","","","","","100","","","","","","","","","","DRAFT","","","","","20'","ST","Joel","02/11/26 05:33 PM","","HOLD","GRAVITY CONCEPTS","","","","TEADIT NORTH AMERICA","","","","","","","02/17/26 07:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","440","","","","","0","","","","","","UNLIMITED TRUCKING","ONE","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","440","31","EVT","126W","10545 Red Bluff Road, Pasadena, TX 77507, US",""
"THWK_E135068","02/19/26","42000","MMAU1128860","THAC3205","02/16/26 08:00 AM","","02/16/26 08:43 AM","","266278508","","","","No","","","No","","450","0","","","","","","","","0","","","","125","","","DRAFT","20'","TRI-AXLE","","waste paper","40'","RF","Joel","02/11/26 05:21 PM","FENCE-LINE **NO CHECK IN NEEDED**","","NEXT MODAL","02/20/26 06:00 PM","02/16/26 02:56 PM","02/16/26 02:56 PM","Echo Fibers","","Rosalia Lopez","Roel Lujano, Anderson Rodrigues","pick up  PIN Number: 18265935
PICKUP USING EDO: EVIPHOU26","02/16/26 06:39 PM","02/16/26 03:30 PM","","","","","","","","false","","","","","","","","Yes","","EXPORT","non operative reefers ","","BAYPORT TERMINAL","","","No","","","","","0","","","02/18/26","CMCA","","575","02/16/26 02:56 PM, 02/16/26 07:29 AM","02/16/26 12:12 PM, 02/16/26 07:19 AM","CH 25-6985-001-004","NM022026-45442A","0","","","","","","BAYPORT TERMINAL","MAERSK","22993947","","DROPPED","","","","12702 Port Rd, Pasadena, TX 77507, USA","","","","575","122.91","RAS","608W","5410 Crawford Road, Houston, TX 77041, US",""
"THWK_E135066","02/19/26","42000","MNBU9121310","napz233117","02/16/26 11:00 AM","","02/11/26 05:30 PM","","266278508","","","","No","","","No","450","","0","","","","","","","","0","","","","125","","","DRAFT","","","","waste paper","40'","RF","Joel","02/11/26 05:21 PM","FENCE-LINE **NO CHECK IN NEEDED**","","NEXT MODAL","02/20/26 06:00 PM","02/16/26 03:28 PM","02/16/26 01:32 PM","Echo Fibers","","Rosalia Lopez","Grady Washington","EDO: EVIPHOU26","02/16/26 06:36 PM","02/16/26 04:58 PM","","","","","","","","false","","","","","","","","Yes","","EXPORT","non operative reefers ","","BAYPORT TERMINAL","","","No","","","CH 25-6985-001-004","","0","","","02/18/26","CMCA","","575","02/16/26 01:14 PM","02/16/26 12:25 PM","","NM022026-45442C","0","","","","","","BAYPORT TERMINAL","MAERSK","J,23003287","","DROPPED","","","","12702 Port Rd, Pasadena, TX 77507, USA","","","","575","122.68","RAS","608W","5410 Crawford Road, Houston, TX 77041, US",""
"THWK_E135065","02/19/26","42000","MNBU3764747","THAC424","02/16/26 12:30 PM","","02/11/26 05:30 PM","","266278508","","","","No","","","No","","450","0","","","","","","","","0","","","","125","","","DRAFT","40'","STANDARD","","waste paper","40'","RF","Joel","02/11/26 05:21 PM","FENCE-LINE **NO CHECK IN NEEDED**","","NEXT MODAL","02/20/26 06:00 PM","02/16/26 02:26 PM","02/16/26 02:14 PM","Echo Fibers","","Rosalia Lopez","Anderson Rodrigues","EDO: EVIPHOU26","02/16/26 05:43 PM","02/16/26 05:38 PM","","","","","","","","false","","","","","","","","Yes","","EXPORT","non operative reefers ","","BAYPORT TERMINAL","","","No","","","CH 25-6985-001-004","","0","","","02/18/26","CMCA","","575","02/16/26 02:13 PM","02/16/26 12:15 PM","","NM022026-45442D","0","","","","","","BAYPORT TERMINAL","MAERSK","22993621","","DROPPED","","","","12702 Port Rd, Pasadena, TX 77507, USA","","","","575","122.68","RAS","608W","5410 Crawford Road, Houston, TX 77041, US",""
"THWK_E135064","02/19/26","42000","MNBU0459591","NAPZ 233234","02/16/26 02:00 PM","","02/11/26 05:30 PM","","266278508","","","","No","","","No","450","","0","","","","","","","","0","","","","125","","","DRAFT","","","","waste paper","40'","RF","Joel","02/11/26 05:05 PM","FENCE-LINE **NO CHECK IN NEEDED**","","NEXT MODAL","02/20/26 06:00 PM","02/16/26 03:35 PM","02/16/26 03:34 PM","Echo Fibers","","Rosalia Lopez","Ernesto Subias","EDO: EVIPHOU26","02/16/26 05:51 PM","02/16/26 04:31 PM","","","","","","","","false","","","","","","","","Yes","","EXPORT","non operative reefers ","","BAYPORT TERMINAL","","","No","","","CH 25-6985-001-004","","0","","","02/18/26","CMCA","","575","02/16/26 03:34 PM","02/16/26 01:16 PM","","NM022026-45442E","0","","","","","","BAYPORT TERMINAL","MAERSK","23003264","","DROPPED","","","","12702 Port Rd, Pasadena, TX 77507, USA","","","","575","122.68","RAS","608W","5410 Crawford Road, Houston, TX 77041, US","WT"
"THWK_M135058","","11186.24","MSDU5402759","","","","","KJ873802","","","","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","","","","Side Panels ","40'","HC","Joel","02/11/26 04:19 PM","","HOLD","TAZMANIAN FREIGHT SYSTEMS INC.","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/23/26 03:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BARBOURS CUT TERMINALS","","0","","","","3030310","0","","","","","","","MSC","","","PENDING","","","","1515 E Barbours Cut Blvd, La Porte, TX 77571, US","","","","0","13.33","HSC","NH606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135053","02/24/26","0","UETU6550475","","","","02/17/26 06:51 PM","263368159","","","","","No","","","No","","350","40","300","","","","","","","","","","","","","","DRAFT","","","","","40'","HC","Joel","02/11/26 03:29 PM","","RELEASED","NOLAN TRANSPORTATION GROUP","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/16/26 03:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BARBOURS CUT TERMINALS","","690","","","","9156976","0","","","","","","","MAERSK","","","AVAILABLE","","","","1515 E Barbours Cut Blvd, La Porte, TX 77571, US","","","","690","13.33","COL","607E","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_E135049","02/16/26","17548","MRKU6092179","THAC3209","02/18/26 11:00 AM","","02/11/26 02:25 PM","","266109470","","wt as of 12:00","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","20'","TRI-AXLE","","STC PREPARED WAX","40'","HC","Joel","02/11/26 02:18 PM","FENCE-LINE **NO CHECK IN NEEDED**","","GLOBAL CARGO","02/19/26 04:00 PM","","","PALMER LOGISTICS-99","","Edgar Lazo","Roel Lujano","","02/17/26 04:48 PM","02/17/26 04:48 PM","","","","","","","","false","","","","","","","","No","","EXPORT","","","PALMER LOGISTICS-99","","","No","02/17/26 12:00 AM","","","","0","","","02/20/26","CMCA","","0","02/17/26 12:05 PM","02/17/26 11:31 AM","","89000300","0","","","","","","BARBOURS CUT TERMINALS","MAERSK","","","DROPPED","","","","12702 Port Rd, Pasadena, TX 77507, USA","","","","0","42.75","MBC","607S","8435 East Grand Parkway South, Baytown, TX 77523, US",""
"THWK_M135048","","22000","JXLU7843373","","","","","SNH22197011","","","","","No","","","No","","380","35","","","","","","","","","","","","","","","DRAFT","","","","Cooling products ","40'","HC","Joel","02/11/26 02:03 PM","","HOLD","Steam Logistics","","","","SMART FAMILY OF COOLING PRODUCTS","","","","","","","02/26/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","415","","","","","0","","","","","","","ZIM","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","415","47.41","JAV","GN608W","20104 East Hardy Road, Houston, TX 77073, US",""
