COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
PALMER LOGISTICS BAYTOWN,,,1100 South Farm-to-Market 565 Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Panex US Suite $#100,,,4129 Greenshadow Drive,Pasadena,TX,77503,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
Premier Trailer,,,5308 Oates Road,Houston,TX,77013,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
REAL MATTER LLC,,,16192 Coastal Highway,Lewes,DE,19958,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Richardson - Baytown,,,2301s Grand Parkway,Baytown,TX,77523,"chassisTermination,chassisPick"," "," ",,," "
Richardson Reload Center,,,2333 Clinton Drive,Galena Park,TX,77547,"chassisTermination,chassisPick"," "," ",,," "
RICHKER METALS,,,1535 Mooney Rd,Houston,TX,77093,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
S&S TIRE (FIRESTONE),,,7340 Julie Frances Dr,Shreveport,LA,71129,ALL," "," ",NO,NO," "
SBD Chemicals,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
SDB,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Selecta Resources,,,939 Coast Boulevard,San Diego,CA,92037,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
SOUTHERN GULF PACKAGING & LOGISTICS,,,1805 Turning Basin Drive,Houston,TX,77029,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
SOUTHWEST FREIGHT,,,5415 Oates Rd,Houston,TX,77013,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
SOUTHWEST FREIGHT INC,,,9005 Spikewood Dr,Houston,TX,77078,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
SUPERIOR PACKAGING AND DISTRIBUTION,,,7707 Wallisville Rd,Houston,TX,77020,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
Surface Prep,,,5973 South Loop East,Houston,TX,77033,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
Swing location - Palletized,,Hector Mireles,13805 Industrial Road,Houston,TX,77015,"chassisTermination,chassisPick,shipper,containerReturn,consignee"," "," ",,NO," "
TANKS-A-LOT SURINAME BRANCHE,,,501 Louisiana 182,Morgan City,LA,70380,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
Tenet Logistics,,,1149 Ellsworth Drive,Pasadena,TX,77506,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
THE PLASTICS EXCHANGE,3122020002,Gordy Greenberg,28230 N 69th St,Scottsdale,AZ,85266,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," ",30,NO,NO," "
Tigerhawk - Internal,,,1485 East Sam Houston Parkway South Suite 140,Pasadena,TX,77503,"caller,shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",NO,NO," "
Tigerhawk WHSE -MUST CHECK IN-,,,4838 Borusan Rd,Baytown,TX,77523,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
TITAN INDUSTRIAL STORAGE,,,3302 Lilac St,Pasadena,TX,77505,"consignee,chassisTermination,chassisPick"," "," ",,NO," "
Transcargo,,,848 Brickell Avenue,Miami,FL,33131,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Transportation Services of America,,,"P.O. BOX 311, FORDS, NJ, 08863",Woodbridge Township,NJ,08863,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Unidad Logistics – Ella Location STE #100,,,11220 Ella Boulevard,Houston,TX,77067,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
UNLIMITED TRUCKING,,,5208 Oates Rd,Houston,TX,77013,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
UP HOUSTON,,UP - Settagast Yard,6800 Kirkpatrick Blvd,Houston,TX,77028,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
USA WHEEL - TELEPHONE RD,,,9122 Telephone Rd,Houston,TX,77075,ALL," "," ",NO,NO," "
VEOLIA WATER TECH,,,4200 Oscar Nelson Junior Drive,Beach City,TX,77523,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
VILKON,,,6506 South 209th Street,Kent,WA,98032,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
