COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
COCANNON LUMBER COMPANY,,,5236 FIDELITY STREET HOUSTON,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
CONGLOBAL MAYO SHELL,,,500 Mayo Shell Rd,Houston,TX,77015,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CORT FURNITURE RENTAL,,,8155 KEMPWOOD DR. HOUSTON,Houston,TX,77055,"consignee,shipper,containerReturn"," "," ",,NO," "
COSTCO KATY,,,31031 US HWY 90 BROOKSHIRE,Brookshire,TX,77423,"consignee,shipper,containerReturn"," "," ",,NO," "
COTAC USA INC.,,,9938 CHEMICAL ROAD. PASADENA,Pasadena,TX,77507,"consignee,shipper,containerReturn"," "," ",,NO," "
CRANE 45,,,13800 North Fwy #100,Houston,TX,77090,"consignee,shipper,containerReturn"," "," ",,NO," "
Crane Cartage LLC,,,1500 Rankin Road,Houston,TX,77073,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Crane Worldwide,,,13320 John F Kennedy Blvd,Houston,TX,77039,shipper," "," ",,NO," "
CRANE WORLDWIDE LOGISTICS,,,1500 Rankin Rd,Houston,TX,77073,"consignee,shipper,containerReturn"," "," ",,NO," "
CTP Environment Group,,,11755 West Little York Road,Houston,TX,77041,"consignee,shipper,containerReturn"," "," ",,NO," "
Cura Freight LLC,,,2104 West Main Street,Tampa,FL,33607,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
CURTISS WRIGHT,,,"9410 E Hardy Rd #6629,",Houston,TX,77093,"consignee,shipper,containerReturn"," "," ",,NO," "
CUSTOM GOODS,3102416700,,9431 Bay Area Blvd,Pasadena,TX,77507,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
CZT ENERGY USA,,,5000 I-10,Sealy,TX,77474,"shipper,consignee"," "," ",,NO," "
DAIKIN COMFORT TECHNOLOGIES,,,7310 LANGFIELD RD HTX 77092,Houston,TX,77092,"consignee,shipper,containerReturn"," "," ",,NO," "
DAYCO,,,13320 John F Kennedy Blvd,Houston,TX,77039,"consignee,shipper,containerReturn"," "," ",,NO," "
Derichebourg Recycling USA - Houston 1,,,1 Wharf st,Houston,TX,77012,"consignee,shipper,containerReturn"," "," ",,NO," "
DEUGRO/C.O.L.T WAREHOUSE,,,2828 Farm to Market 1405,Baytown,TX,77523,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
DHL GLOBAL FORWARDING,,,15894 Diplomatic Plaza Dr,Houston,TX,77032,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
Dhollandia,,,5913 Imperial Loop dr,College Station,TX,77845,"consignee,shipper,containerReturn"," "," ",,NO," "
DILLARDS DEPT STORE,,,4501 North Beach Street,Fort Worth,TX,76137,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
Dnata,,,19577 Lee Rd,Humble,TX,77338,shipper," "," ",,NO," "
DSI,,,2702 HOLMES RD. HOUSTON,Houston,TX,77051,"consignee,shipper,containerReturn"," "," ",,NO," "
DSI LOGISTICS,,,3100 Pawnee St,Houston,TX,77054,"consignee,shipper,containerReturn"," "," ",,NO," "
DUNAVANT,,,10629 Red Bluff Rd,Pasadena,TX,77507,"consignee,shipper,containerReturn"," "," ",,NO," "
DUNAVANT-LAPORTE,,,501 Independence Parkway,Deer Park,TX,77536,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
DURAPARTS INC.,,,13320 John F Kennedy Blvd,Houston,TX,77039,"consignee,shipper,containerReturn"," "," ",,NO," "
DW DISTRIBUTION INC,,,1200 E Centre Park Blvd,DeSoto,TX,75115,"shipper,consignee"," "," ",,NO," "
EDP CATTLEMAN,,,8115 FM 2027 MILAM COUNTY ROSEBUD,Rosebud,TX,76570,"consignee,shipper,containerReturn"," "," ",,NO," "
"Electronic Scrap Recycling, Inc",,,6427 Springer Street,Houston,TX,77087,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
ELFS,,,3031 Eastveld Dr,Houston,TX,77073,"consignee,shipper,containerReturn"," "," ",,NO," "
EM,,"Equipment Management Services, LLC - EM",11000 Beaumont Hwy,Houston,TX,77078,"shipper,containerReturn"," "," ",,NO," "
EM,,"Equipment Management Services, LLC - EM",11000 Beaumont Highway,Houston,TX,77213,"shipper,containerReturn"," "," ",,NO," "
EMODAL,,,,Ashburn,VA,20147,"shipper,containerReturn"," "," ",,NO," "
equipment depot,,,5661 Agnes Street,Corpus Christi,TX,78405,shipper," "," ",,NO," "
Equipment Management Services,,,6910 South Lake Houston Parkway,Houston,TX,77049,shipper," "," ",,NO," "
ESMER TILE DISTRIBUTION CENTER,,,10433 Ella Boulevard,Houston,TX,77038,"consignee,shipper,containerReturn,caller"," "," ",NO,NO," "
Fence-line **No Check in needed**,,No check in needed,4906 Borusan Rd,Baytown,TX,77523,"shipper,containerReturn,consignee,caller,chassisTermination,chassisPick"," "," ",NO,NO," "
Feutainer (Victoria),,,14810 US Hwy 77,Victoria,tx,77904,ALL," "," ",NO,NO," "
Feutainer F1,,,"7902 Cowart St,",Houston,TX,77029,shipper," ",30,,NO," "
Feutainer F6,,,3337 Canada Rd,La Porte,TX,77571,"shipper,containerReturn,consignee"," "," ",,NO," "
Feutainer F7,,,1805 Turning Basin Dr,Houston,TX,77029,"shipper,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Feutainer F7 (Talcott),,,14830 Talcott St,Houston,TX,77015,"shipper,containerReturn,consignee"," "," ",,NO," "
FEUTAINER WAREHOUSE,,,7902 Cowart St,Houston,TX,77029,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
FINN CONTAINER CARGO SVCS.,,,6003 Murphy St,Houston,TX,77033,"shipper,containerReturn,consignee"," "," ",,NO," "
FLEXI-VAN LEASING,,,7226 N Loop E Fwy,Houston,TX,77028,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
FLOOR & DECOR 991 DC,,,5120 Cedar Port Pkwy,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
FLOWCHEM LLC,,,20333 Blinka Road,Waller,TX,77484,"consignee,shipper,containerReturn"," "," ",,NO," "
FLUID SEALINGS,,,155 SOUTHBELT INDUSTRIAL DR. HOUSTON,Houston,TX,77047,"consignee,shipper,containerReturn"," "," ",,NO," "
FNS,,,10100 Porter Road,La Porte,TX,77571,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
FOREIGN TRADE,,,1350 LATHROP STREET HOUSTON,Houston,TX,77020,"consignee,shipper,containerReturn"," "," ",,NO," "
Forum Energy Technologies Inc,,,12735 Dairy Ashford rd,Stafford,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
Frontier Logistics La Porte,,,11931 Hwy 225 La Porte 77571 TX US,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
FRONTIER LOGISTICS- Pasadena,,,3507 Pasadena Fwy,Pasadena,TX,77503,"consignee,shipper,containerReturn"," "," ",,NO," "
FRONTIER WH La Porte,,,1806 S 16th St,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
GARTNER COATINGS,,,2433 Reid Blvd,Pearland,TX,77581,"shipper,consignee,caller"," ",30,NO,NO," "
GATEWAY LOGISTICS--HOUSTON,,,18201 VISCOUNT RD HOUSTON,Houston,TX,77032,"consignee,shipper,containerReturn,caller"," ",30,NO,NO," "
GATEWAY-IGLOO RD,,,3214 Igloo Road,Houston,TX,77032,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
GCP PAPER USA,,,14720 John F Kennedy Blvd,Houston,TX,77032,"consignee,shipper,containerReturn"," "," ",,NO," "
"GENERAL TECHNOLOGIES, INC",,,13003 Royal Dr,Stafford,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
General Work Products,,,104 Japhet,Houston,TX,77020,"consignee,shipper,containerReturn"," "," ",,NO," "
GIS,,Gulf Intermodal Services - GIS,10043 Wallisville Rd,Houston,TX,77013,"shipper,containerReturn"," "," ",,NO," "
GLOBAL CONTAINER INDUSTRIES,,,7015 FM1942,Baytown,TX,77521,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
GLOBAL IMPORTS,,,19531 Ramblewood Dr Humble 77338 TX US,Humble,TX,77338,"caller,consignee,shipper,containerReturn"," ",30,NO,NO," "
GLT INTERNATIONAL,,,1000 HAWKINS BLVD. EL PASO TX 79915,El Paso,TX,79915,"consignee,shipper,containerReturn"," ",30,,NO," "
GOODMAN MANUFACTURING INC.,,,22533 NW LAKE DR HOUSTON,Houston,TX,77095,"consignee,shipper,containerReturn"," "," ",,NO," "
GRAND OFFICE FURNITURE PLACE,,,4303 Gessner Rd,Houston,TX,77041,"consignee,shipper,containerReturn"," "," ",,NO," "
GTI,,,13022 TRINITY DRIVE STAFFORD 77477 TX USA,STAFFORD,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
GULF,,Gulf Transport Inc.,8735 N Howton St,Houston,TX,77028,"shipper,containerReturn"," "," ",,NO," "
GULF COAST CRATING (NEXT TO BIG CAT),,,4838 Borusan Rd,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
GULF INTERMODAL SERVICES (GIS),,,10043 Wallisville Rd,Houston,TX,77013,"shipper,containerReturn"," "," ",,NO," "
GULF TIRE DISTRIBUTORS,,,7108 Old Katy Rd,Houston,TX,77024,"consignee,shipper,containerReturn"," "," ",,NO," "
HD HYUNDAI GLOBAL SERV,,,16610 Barker Springs Rd,Houston,TX,77084,"consignee,shipper,containerReturn"," "," ",,NO," "
HD HYUNDAI MARINE SOLUTION AMERICA,,,16610 Barker Springs Rd,Houston,TX,77084,"consignee,shipper,containerReturn"," "," ",,NO," "
HEB WAREHOUSE,,,9601 W Wingfoot Rd,Houston,TX,77041,"consignee,shipper,containerReturn,caller"," "," ",NO,NO," "
HITECH POWER PROTECTION INC.,,,25707 Southwest Fwy,Rosenberg,TX,77469,"caller,consignee,shipper,containerReturn"," "," ",NO,NO," "
HOUSTON COMMODITY--CITYLOOP PARK,,,8607 Citypark Loop,Houston,TX,77013,"consignee,shipper,containerReturn"," "," ",,NO," "
HOUSTON COMMODITY--QUITMAN,,,2300 Quitman St,Houston,TX,77026,"consignee,shipper,containerReturn"," "," ",,NO," "
HOUSTON SERVICE CENTER,,,1273 Sheffield Boulevard,Houston,TX,77015,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
IGLOO PRODUCTS CORP,,,1519 Woods Road,Brookshire,TX,77423,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
IMC LOGISTICS - HOU,,KATE GILLIS,10043 Wallisville Rd,Houston,TX,77013,"shipper,chassisTermination,chassisPick,consignee"," "," ",,NO," "
IMS  / Cooper Ports of America,,Integrated Marine Services LLC,918 N Broadway St,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
IMS/CPA,,,500 E BARBOURS CUT BLVD.,La Porte,TEXAS,77571,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
Independant Pipe Services,,,9025 Pineland rd,Houston,TX,77044,"consignee,shipper,containerReturn"," "," ",,NO," "
INDUSTRIAL TERMINALS,,,1390 INDUSTRIAL ROAD,Houston,TX,77015,"shipper,containerReturn"," "," ",,NO," "
