COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
AM Premier,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AMAZON SHV1,,,1625 Corporate Drive,Shreveport,LA,71107,"consignee,shipper,containerReturn"," "," ",,NO," "
AMERICAN BRANDS,,,9211 Thomasville Dr,Houston,TX,77064,consignee," "," ",,NO," "
American Dawn,,,8505 North Loop East Freeway,Houston,TX,77029,consignee," "," ",,NO," "
American Glass Distributors,,,"3901 Airline Dr BLDG 1,",Houston,TX,77022,consignee," "," ",,NO," "
AMERICAN INTERNATIONAL EXPORT,,,2722 Holmes Rd,Houston,TX,77051,consignee," "," ",,NO," "
American Molecules LLC,,,9910 Bent Oak Drive,Houston,TX,77040,consignee," "," ",,NO," "
American Pipe,,,11403 N Houston Rosslyn rd,Houston,TX,77088,"consignee,shipper,containerReturn"," "," ",,NO," "
AMERICAN WAREHOUSES,,,1918 Collingsworth St,Houston,TX,77009,consignee," "," ",,NO," "
American Wire Group,,,29921 Medline ln,Katy,TX,77494,"consignee,shipper,containerReturn"," "," ",,NO," "
AMERICOLD,,,502 N Broadway St,La Porte,TX,77571,consignee," "," ",,NO," "
AMERIGROUP LLC,,,24010 Tomball Pkwy,Tomball,TX,77375,consignee," "," ",,NO," "
AMESTA PACKAGING,,,2020 19th Street Northwest,Paris,TX,75460,consignee," "," ",,NO," "
Amnexs Solutions,,,1815 South Meyers Road,Villa Park,IL,60181,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AMS TSS BRN PLANNING PLANT,,,8500 W Bay Rd,Baytown,TX,77523,consignee," "," ",,NO," "
Andustric LLC (Anchor Boat Storage),,,14071 HORSESHOE BEND,Conroe,TX,77384,consignee," "," ",,NO," "
ANJE FURNITURE USA INC.,,,1810 Milby Street,Houston,TX,77003,consignee," "," ",,NO," "
APACHE WHOLESALE,,,"2221 CLINTON DRIVE,",Galena Park,TX,77547,consignee," "," ",,NO," "
Aquiles Custom Broker - Warehouse,9568438105,,3201 N International Boulevard,Hidalgo,TX,78557,consignee," "," ",,NO," "
AR FLOOR DESIGNS OF HOUSTON,7137260900,maria rojas,5213 Brookston Street,Houston,TX,77045,"consignee,caller"," "," ",NO,NO," "
AR Unlimited,,,7350 Langfield Road,Houston,TX,77092,consignee," "," ",,NO," "
ARC SENTRY-SAN MARCOS,,,1600 Clovis R Barker Road,San Marcos,TX,78666,consignee," "," ",,NO," "
AREA WHOLESALE TIRE,,,12121 McLain Boulevard STE 100,Houston,TX,77071,consignee," "," ",,NO," "
ARGOS,,,9311 Bay Area Blvd,Pasadena,TX,77507,consignee," "," ",,NO," "
ARMOROCK,,,207 Heritage Court,Sulphur Springs,TX,75482,consignee," "," ",,NO," "
ARMSTRONG RELOCATION,,,9778 W Gulf Bank Rd,Houston,TX,77040,consignee," "," ",,NO," "
ARPIN AMERICAN HOUSTON MOVERS,,,4660 N Sam Houston Pkwy E,Houston,TX,77001,consignee," "," ",,NO," "
ASH CREEK,,,170 County Rd 3160,Hill County,TX,76621,consignee," "," ",,NO," "
Asia Chemical Corp,,,1417 Kress Street,Houston,TX,77020,consignee," "," ",,NO," "
ASIA CHEMICAL CORP,,,5949 Old Clinton Road,Houston,TX,77020,consignee," "," ",,NO," "
ASILIA USA LLC.,,,2047 Teas Nursery Road,Conroe,TX,77304,consignee," "," ",,NO," "
AST Parts Inc Suite 500,,,2725 South State Highway 360,Grand Prairie,TX,75052,consignee," "," ",,NO," "
ATKORE INC,,,4949 Joseph Hardin Dr,Dallas,TX,75236,"consignee,shipper,containerReturn"," "," ",,NO," "
